name,group
GSM5652259_Kidney-Tubular-Epithelial-Z0000043Z,Kidney-Tubular-Epithelium
GSM5652260_Kidney-Tubular-Epithelial-Z00000440,Kidney-Tubular-Epithelium
GSM5652261_Kidney-Glomerular-Podocytes-Z0000042W,Kidney-Glomerular-Podocytes
GSM5652262_Kidney-Glomerular-Podocytes-Z00000441,Kidney-Glomerular-Podocytes
GSM5652263_Kidney-Glomerular-Podocytes-Z00000442,Kidney-Glomerular-Podocytes
GSM5652264_Thyroid-Epithelial-Z0000042S,Thyroid-Epithelium
GSM5652265_Thyroid-Epithelial-Z0000042T,Thyroid-Epithelium
GSM5652266_Thyroid-Epithelial-Z0000042U,Thyroid-Epithelium
GSM5652267_Fallopian-Epithelial-Z000000Q7,Fallopian-Epithelium
GSM5652268_Fallopian-Epithelial-Z000000S9,Fallopian-Epithelium
GSM5652269_Fallopian-Epithelial-Z000000UV,Fallopian-Epithelium
GSM5652270_Ovary-Epithelial-Z000000QT,Ovary-Epithelium
GSM5652271_Endometrium-Epithelial-Z00000434,Endometrium-Epithelium
GSM5652272_Endometrium-Epithelial-Z00000435,Endometrium-Epithelium
GSM5652273_Endometrium-Epithelial-Z0000043S,Endometrium-Epithelium
GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,Bone_marrow-Erythrocyte_progenitors
GSM5652275_Bone_marrow-Erythrocyte_progenitors-Z000000RH,Bone_marrow-Erythrocyte_progenitors
GSM5652276_Bone_marrow-Erythrocyte_progenitors-Z000000RK,Bone_marrow-Erythrocyte_progenitors
GSM5652277_Blood-T-CD3-Z000000TV,Blood-T-CD3
GSM5652278_Blood-T-CD3-Z000000UP,Blood-T-CD3
GSM5652279_Blood-T-CD4-Z000000TT,Blood-T-CD4
GSM5652280_Blood-T-CD4-Z000000U7,Blood-T-CD4
GSM5652281_Blood-T-CD4-Z000000UM,Blood-T-CD4
GSM5652282_Blood-T-CD8-Z000000TR,Blood-T-CD8
GSM5652283_Blood-T-CD8-Z000000U5,Blood-T-CD8
GSM5652284_Blood-T-CD8-Z000000UK,Blood-T-CD8
GSM5652285_Blood-T-CenMem-CD4-Z00000417,Blood-T-CenMem-CD4
GSM5652286_Blood-T-CenMem-CD4-Z0000041D,Blood-T-CenMem-CD4
GSM5652287_Blood-T-CenMem-CD4-Z0000041N,Blood-T-CenMem-CD4
GSM5652288_Blood-T-Eff-CD8-Z00000419,Blood-T-Eff-CD8
GSM5652289_Blood-T-Eff-CD8-Z0000041F,Blood-T-Eff-CD8
GSM5652290_Blood-T-Eff-CD8-Z0000041Q,Blood-T-Eff-CD8
GSM5652291_Blood-T-EffMem-CD4-Z00000416,Blood-T-EffMem-CD4
GSM5652292_Blood-T-EffMem-CD4-Z0000041C,Blood-T-EffMem-CD4
GSM5652293_Blood-T-EffMem-CD4-Z0000041M,Blood-T-EffMem-CD4
GSM5652294_Blood-T-EffMem-CD8-Z0000041A,Blood-T-EffMem-CD8
GSM5652295_Blood-T-EffMem-CD8-Z0000041G,Blood-T-EffMem-CD8
GSM5652296_Blood-T-Naive-CD4-Z0000041E,Blood-T-Naive-CD4
GSM5652297_Blood-T-Naive-CD8-Z0000041B,Blood-T-Naive-CD8
GSM5652298_Blood-T-Naive-CD8-Z0000041H,Blood-T-Naive-CD8
GSM5652299_Blood-NK-Z000000TM,Blood-NK
GSM5652300_Blood-NK-Z000000U1,Blood-NK
GSM5652301_Blood-NK-Z000000UF,Blood-NK
GSM5652302_Blood-Monocytes-Z000000TP,Blood-Monocytes
GSM5652303_Blood-Monocytes-Z000000U3,Blood-Monocytes
GSM5652304_Blood-Monocytes-Z000000UH,Blood-Monocytes
GSM5652305_Colon-Macrophages-Z00000444,Colon-Macrophages
GSM5652306_Colon-Macrophages-Z00000446,Colon-Macrophages
GSM5652307_Liver-Macrophages-Z0000043P,Liver-Macrophages
GSM5652308_Lung-Alveolar-Macrophages-Z00000448,Lung-Alveolar-Macrophages
GSM5652309_Lung-Alveolar-Macrophages-Z0000044C,Lung-Alveolar-Macrophages
GSM5652310_Lung-Interstitial-Macrophages-Z00000447,Lung-Interstitial-Macrophages
